0,title,artist,genre,bpm,nrgy,dnce,live,val,dur,acous,spch,pop,artist_code,genre_code
157,Everybody Talks,Neon Trees,indie pop,155,92,47,31,73,177,0,6,74,129,41
158,Hold On We're Going Home,Drake,canadian hip hop,100,41,77,7,29,228,0,10,73,44,16
159,Best Song Ever,One Direction,boy band,118,88,65,8,49,200,2,5,73,134,12
160,Kiss You,One Direction,boy band,90,93,63,32,91,183,2,6,73,134,12
161,Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,128,93,57,6,58,213,20,11,72,22,25
162,Lose Yourself to Dance,Daft Punk,electro,100,66,83,8,67,354,8,6,72,39,30
163,Work Bitch,Britney Spears,dance pop,128,82,63,7,85,248,16,16,71,18,25
164,Brave,Sara Bareilles,acoustic pop,185,84,55,4,76,221,1,5,71,152,0
165,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,146,93,63,10,88,258,3,8,70,109,25
166,Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,136,76,67,34,54,230,4,16,70,141,25
167,Beneath Your Beautiful,Labrinth,pop,84,52,56,10,23,272,23,4,70,93,48
168,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,125,68,66,37,25,252,25,4,70,127,25
169,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,95,53,78,5,66,236,6,29,69,109,25
170,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,126,75,52,14,16,215,26,4,69,135,25
171,The Way,Ariana Grande,dance pop,82,88,65,8,86,227,29,11,68,10,25
172,Suit & Tie,Justin Timberlake,dance pop,102,60,80,16,36,326,10,22,68,84,25
173,#thatPOWER,will.i.am,dance pop,128,61,80,7,40,280,0,6,68,183,25
174,I Love It (feat. Charli XCX),Icona Pop,candy pop,126,91,71,15,82,157,1,3,67,67,19
175,Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,130,87,72,66,68,209,4,4,67,41,25
176,Daylight,Maroon 5,pop,120,67,66,26,37,225,0,3,66,114,48
177,Love Somebody,Maroon 5,pop,120,78,68,12,40,230,13,4,65,114,48
178,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,130,62,76,9,52,241,1,18,65,52,25
179,Move,Little Mix,dance pop,121,74,85,55,77,224,0,9,63,101,25
180,Walks Like Rihanna,The Wanted,boy band,126,82,56,10,43,202,1,6,62,170,12
181,Rock N Roll,Avril Lavigne,canadian pop,184,96,47,34,67,207,1,13,61,13,18
182,Heartbreaker,Justin Bieber,canadian pop,105,52,56,34,58,263,14,10,61,83,18
183,Mirrors - Radio Edit,Justin Timberlake,dance pop,77,60,58,43,65,277,14,5,60,84,25
184,Next To Me,Emeli Sandé,dance pop,95,80,67,11,35,197,9,4,60,48,25
185,Made In The USA,Demi Lovato,dance pop,87,86,58,32,59,196,0,4,60,42,25
186,Clown,Emeli Sandé,dance pop,130,23,45,11,23,221,92,4,60,48,25
187,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,93,81,55,15,34,271,9,31,59,8,38
188,TKO,Justin Timberlake,dance pop,138,68,61,43,49,424,1,24,58,84,25
189,Come & Get It,Selena Gomez,dance pop,80,79,55,10,58,232,1,5,57,154,25
190,Live It Up,Jennifer Lopez,dance pop,128,73,69,33,65,244,1,17,57,74,25
191,We Own The Night,The Wanted,boy band,104,94,55,23,56,206,1,13,56,170,12
192,Atlas - From “The Hunger Games: Catching Fire” Soundtrack,Coldplay,permanent wave,136,45,28,11,11,236,63,3,55,34,47
193,What About Love,Austin Mahone,dance pop,100,78,63,4,28,203,0,4,54,11,25
194,Take Back the Night,Justin Timberlake,dance pop,107,66,59,64,33,353,4,16,54,84,25
195,Applause,Lady Gaga,dance pop,140,78,67,11,73,212,3,5,52,94,25
